Country,Cases_covid,Deaths_covid,Cases_hn,Deaths_hn,Cases_sars,Deaths_sars
Bosnia and Hezegovina,0.0,0.0,2.0,0.0,0.0,0.0
"British Virgin Islands, UKOT",0.0,0.0,11.0,0.0,0.0,0.0
Brunei Darussalam,0.0,0.0,283.0,0.0,0.0,0.0
Bulgaria,0.0,0.0,67.0,0.0,20.0,0.0
Cap Verde,0.0,0.0,18.0,0.0,0.0,0.0
"Cayman Islands, UKOT",0.0,0.0,86.0,0.0,0.0,0.0
China,0.0,0.0,11687.0,0.0,343093.0,19738.0
Cook Island,0.0,0.0,1.0,0.0,0.0,0.0
Costa Rica*,0.0,0.0,227.0,2.0,0.0,0.0
Cote d'Ivoire,0.0,0.0,12.0,0.0,0.0,0.0
Cuba,0.0,0.0,383.0,0.0,0.0,0.0
Cyprus,0.0,0.0,280.0,0.0,0.0,0.0
Dominica,0.0,0.0,14.0,0.0,0.0,0.0
El Salvador,0.0,0.0,2317.0,0.0,0.0,0.0
Ethiopia,0.0,0.0,14.0,0.0,0.0,0.0
Fiji,0.0,0.0,13.0,0.0,0.0,0.0
"France, French Polynesia, FOC",0.0,0.0,1.0,0.0,0.0,0.0
"France, Martinique, FOC",0.0,0.0,1.0,0.0,0.0,0.0
Grand Total,0.0,0.0,785800.0,3774.0,0.0,0.0
Guatemala,0.0,0.0,525.0,3.0,0.0,0.0
Guatemala ,0.0,0.0,1915.0,13.0,0.0,0.0
Guyana,0.0,0.0,2.0,0.0,0.0,0.0
Honduras,0.0,0.0,1466.0,5.0,0.0,0.0
"Iran, Islamic Republic",0.0,0.0,1.0,0.0,0.0,0.0
Jamaica,0.0,0.0,249.0,0.0,0.0,0.0
Kenya,0.0,0.0,28.0,0.0,0.0,0.0
"Korea, Republic of",0.0,0.0,1781.0,0.0,0.0,0.0
Laos,0.0,0.0,23.0,0.0,0.0,0.0
Libya,0.0,0.0,1.0,0.0,0.0,0.0
Malta,0.0,0.0,26.0,0.0,0.0,0.0
Mauritius,0.0,0.0,9.0,0.0,0.0,0.0
Montenegro,0.0,0.0,26.0,0.0,0.0,0.0
Morocco *,0.0,0.0,6.0,0.0,0.0,0.0
Myanmar,0.0,0.0,3.0,0.0,0.0,0.0
"Netherlands, Curacao, OT",0.0,0.0,1.0,0.0,0.0,0.0
Nicaragua,0.0,0.0,2345.0,0.0,0.0,0.0
Palau,0.0,0.0,2.0,0.0,0.0,0.0
Panama,0.0,0.0,5176.0,0.0,0.0,0.0
Papua New Guinea,0.0,0.0,8.0,0.0,0.0,0.0
Paraguay,0.0,0.0,738.0,1.0,0.0,0.0
Saint Lucia,0.0,0.0,3.0,0.0,0.0,0.0
Samoa,0.0,0.0,9.0,0.0,0.0,0.0
Suriname,0.0,0.0,88.0,0.0,0.0,0.0
Syria,0.0,0.0,1.0,0.0,0.0,0.0
The former Yugoslav Republic of Macedonia,0.0,0.0,2.0,0.0,0.0,0.0
Trinidad and Tobago,0.0,0.0,330.0,0.0,0.0,0.0
Turkey,0.0,0.0,323.0,0.0,0.0,0.0
Uganda,0.0,0.0,2.0,0.0,0.0,0.0
United Kingdom,0.0,0.0,43708.0,15.0,414.0,0.0
"United Kingdom, Isle of Man, Crown Dependency",0.0,0.0,1.0,0.0,0.0,0.0
"United Kingdom, Jersey, Crown Dependency",0.0,0.0,1.0,0.0,0.0,0.0
United States of America,0.0,0.0,340804.0,1150.0,0.0,0.0
United States of America*,0.0,0.0,17855.0,44.0,0.0,0.0
Uruguay,0.0,0.0,1458.0,6.0,0.0,0.0
Vanuatu,0.0,0.0,11.0,0.0,0.0,0.0
Venezuela,0.0,0.0,1327.0,0.0,0.0,0.0
Viet Nam,0.0,0.0,822.0,0.0,5885.0,438.0
West Bank and Gaza Strip,0.0,0.0,146.0,0.0,0.0,0.0
Yemen,0.0,0.0,50.0,0.0,0.0,0.0
"    France, New Caledonia, FOC",0.0,0.0,12.0,0.0,0.0,0.0
"    French Polynesia, FOC",0.0,0.0,11.0,0.0,0.0,0.0
"    Martinique, FOC",0.0,0.0,12.0,0.0,0.0,0.0
"     French Polynesia, FOC",0.0,0.0,4.0,0.0,0.0,0.0
"     Guadaloupe, FOC",0.0,0.0,2.0,0.0,0.0,0.0
"     Guernsey, Crown Dependency",0.0,0.0,17.0,0.0,0.0,0.0
"     Isle of Man, Crown Dependency",0.0,0.0,8.0,0.0,0.0,0.0
"     Jersey, Crown Dependency",0.0,0.0,51.0,0.0,0.0,0.0
"     Martinique, FOC",0.0,0.0,3.0,0.0,0.0,0.0
"     Netherlands Antilles, Curaçao",0.0,0.0,23.0,0.0,0.0,0.0
"     Netherlands Antilles, Curaçao *",0.0,0.0,12.0,0.0,0.0,0.0
"     Netherlands Antilles, Curaçao **",0.0,0.0,3.0,0.0,0.0,0.0
"     Netherlands Antilles, Sint Maarten",0.0,0.0,26.0,0.0,0.0,0.0
"     Netherlands, Aruba",0.0,0.0,10.0,0.0,0.0,0.0
"     New Caledonia, FOC",0.0,0.0,12.0,0.0,0.0,0.0
     Puerto Rico,0.0,0.0,18.0,0.0,0.0,0.0
"     Saint Martin, FOC",0.0,0.0,1.0,0.0,0.0,0.0
     Virgin Islands,0.0,0.0,1.0,0.0,0.0,0.0
"Hong Kong SAR, China",0.0,0.0,0.0,0.0,132776.0,16924.0
"Macao SAR, China",0.0,0.0,0.0,0.0,64.0,0.0
Mongolia,0.0,0.0,0.0,0.0,551.0,0.0
Republic of Ireland,0.0,0.0,0.0,0.0,99.0,0.0
Republic of Korea,0.0,0.0,0.0,0.0,153.0,0.0
Russian Federation,0.0,0.0,0.0,0.0,31.0,0.0
"Taiwan, China",0.0,0.0,0.0,0.0,30373.0,3550.0
United States,0.0,0.0,0.0,0.0,7206.0,0.0
